ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 573,Bacteria,Desulfobacterota,NA,NA,NA,NA,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ASV_ 574,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,0,0,0,0,0,10,0,0,0,0,0,0,0,0
ASV_ 575,Bacteria,Planctomycetota,Phycisphaerae,mle1-8,NA,NA,0,0,0,0,0,0,10,0,0,0,0,0,0,0
ASV_ 576,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,0,0,0,0,0,0,10,0,0,0,0,0,0,0
ASV_ 577,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV_ 578,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV_ 579,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV_ 58,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0,0,0,0,0,241,27,1589,293,0,827,0,62,213
ASV_ 580,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,0,0,0,0,0,0,0,0,0,0,0,10,0,0
ASV_ 581,Bacteria,Gemmatimonadota,S0134 terrestrial group,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,0
ASV_ 582,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,10,0
ASV_ 583,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 584,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 585,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,0,0,0,9,0,0,0,0,0,0,0,0,0
ASV_ 586,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,NA,NA,0,0,0,0,0,0,9,0,0,0,0,0,0,0
ASV_ 587,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA,0,0,0,0,0,0,0,0,9,0,0,0,0,0
ASV_ 588,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ASV_ 589,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,NA,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 59,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,120,1297,0,0,1012,0,85,59,101,0,229,0,126,0
ASV_ 590,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 591,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0,0,4,0,0,0,0,0,0,0,0,0,4,0
ASV_ 592,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Planctopirus,0,0,0,8,0,0,0,0,0,0,0,0,0,0
ASV_ 593,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,0,0,8,0,0,0,0,0,0,0,0,0,0
ASV_ 594,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ASV_ 595,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,NA,0,0,0,0,0,8,0,0,0,0,0,0,0,0
ASV_ 596,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,NA,0,0,0,0,0,8,0,0,0,0,0,0,0,0
ASV_ 597,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ASV_ 598,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ASV_ 599,Bacteria,Desulfobacterota,NA,NA,NA,NA,0,0,0,0,0,0,8,0,0,0,0,0,0,0
