sample,readsNums,Name,Experiment,Alpha,value
S43,21616,S43,S43,Observe,151
S43,24704,S43,S43,Observe,156
S43,27792,S43,S43,Observe,158
S43,30880,S43,S43,Observe,159
S43,33968,S43,S43,Observe,163
S43,37056,S43,S43,Observe,166
S43,40144,S43,S43,Observe,168
S43,43232,S43,S43,Observe,170
S43,46320,S43,S43,Observe,172
S43,49408,S43,S43,Observe,173
S43,52496,S43,S43,Observe,174
S43,55584,S43,S43,Observe,175
S43,58672,S43,S43,Observe,175
S43,61760,S43,S43,Observe,175
S43,64848,S43,S43,Observe,175
S43,67936,S43,S43,Observe,175
S43,71024,S43,S43,Observe,175
S43,74112,S43,S43,Observe,176
S43,77200,S43,S43,Observe,177
S43,80288,S43,S43,Observe,178
S43,83376,S43,S43,Observe,179
S43,86464,S43,S43,Observe,179
S43,89552,S43,S43,Observe,179
S43,92640,S43,S43,Observe,179
S43,95728,S43,S43,Observe,180
S43,98816,S43,S43,Observe,180
S43,101904,S43,S43,Observe,180
S43,104992,S43,S43,Observe,181
S43,108080,S43,S43,Observe,181
S43,111168,S43,S43,Observe,181
S43,114256,S43,S43,Observe,181
S43,117344,S43,S43,Observe,181
S43,120432,S43,S43,Observe,181
S43,123520,S43,S43,Observe,181
S43,126608,S43,S43,Observe,181
S43,129696,S43,S43,Observe,181
S43,132784,S43,S43,Observe,181
S43,135872,S43,S43,Observe,181
S43,138960,S43,S43,Observe,181
S43,142048,S43,S43,Observe,181
S43,145136,S43,S43,Observe,181
S43,148224,S43,S43,Observe,181
S43,151312,S43,S43,Observe,181
S43,154400,S43,S43,Observe,181
S43,154400,S43,S43,Observe,181
